time_window,analysis_group,service_key,log_count,info_count,warn_count,error_count,unique_template_count,unique_reporter_count,error_ratio,warn_ratio,active_period_id,log_count_history,log_count_median,log_count_mad,log_count_robust_z,log_count_zero_baseline_spike,error_count_history,error_count_median,error_count_mad,error_count_robust_z,error_count_zero_baseline_spike,warn_count_history,warn_count_median,warn_count_mad,warn_count_robust_z,warn_count_zero_baseline_spike,prior_error_count,prior_warn_count,has_enough_history,is_volume_spike,is_error_novelty,is_warn_novelty,is_error_burst,is_warn_burst,is_anomaly
2022-06-14 13:42:30+00:00,semantic_cluster_21,train-ticket/ts-auth-service,4,3,0,1,4,4,0.25,0.0,12,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-14 13:42:30+00:00,semantic_cluster_28,train-ticket/ts-auth-service,3,2,0,1,3,2,0.3333333333333333,0.0,12,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-14 14:17:00+00:00,semantic_cluster_33,train-ticket/ts-auth-service,1,0,0,1,1,1,1.0,0.0,13,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-14 14:18:00+00:00,semantic_cluster_12,train-ticket/ts-auth-service,1,0,0,1,1,1,1.0,0.0,13,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-14 14:18:00+00:00,semantic_cluster_18,train-ticket/ts-auth-service,3,2,0,1,3,2,0.3333333333333333,0.0,13,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-14 18:31:30+00:00,semantic_cluster_24,train-ticket/ts-auth-service,1,0,1,0,1,1,0.0,1.0,14,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,False,True,False,False,True
2022-06-14 19:14:30+00:00,semantic_cluster_37,train-ticket/ts-auth-service,2,1,0,1,2,2,0.5,0.0,16,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-14 19:21:00+00:00,semantic_cluster_0,train-ticket/ts-auth-service,2,1,0,1,2,2,0.5,0.0,16,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-14 19:21:00+00:00,semantic_cluster_19,train-ticket/ts-auth-service,1,0,1,0,1,1,0.0,1.0,16,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,False,True,False,False,True
2022-06-14 19:21:00+00:00,semantic_cluster_33,train-ticket/ts-auth-service,1,0,0,1,1,1,1.0,0.0,16,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-14 19:34:00+00:00,semantic_cluster_27,train-ticket/ts-auth-service,4,3,1,0,3,4,0.0,0.25,16,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,False,True,False,False,True
2022-06-15 07:47:00+00:00,semantic_cluster_19,train-ticket/ts-auth-service,4,3,1,0,3,4,0.0,0.25,18,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,False,True,False,False,True
2022-06-20 14:02:00+00:00,semantic_cluster_18,train-ticket/ts-auth-service,4,3,0,1,4,3,0.25,0.0,23,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-20 14:03:30+00:00,semantic_cluster_19,train-ticket/ts-auth-service,2,1,1,0,2,2,0.0,0.5,23,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,False,True,False,False,True
2022-06-20 16:51:30+00:00,semantic_cluster_0,train-ticket/ts-auth-service,3,2,0,1,2,3,0.3333333333333333,0.0,27,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-20 16:51:30+00:00,semantic_cluster_12,train-ticket/ts-auth-service,3,2,1,0,2,3,0.0,0.3333333333333333,27,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,False,True,False,False,True
2022-06-20 16:51:30+00:00,semantic_cluster_33,train-ticket/ts-auth-service,2,1,0,1,2,2,0.5,0.0,27,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-30 09:34:00+00:00,semantic_cluster_12,train-ticket/ts-auth-service,1,0,0,1,1,1,1.0,0.0,56,0.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-30 09:34:00+00:00,semantic_cluster_33,train-ticket/ts-auth-service,4,2,0,2,2,4,0.5,0.0,56,3.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-30 10:43:00+00:00,semantic_cluster_0,train-ticket/ts-auth-service,31,30,0,1,3,19,0.03225806451612903,0.0,58,109.0,8.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-30 15:37:00+00:00,semantic_cluster_0,train-ticket/ts-auth-service,35,34,0,1,4,18,0.02857142857142857,0.0,65,26.0,19.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-06-30 15:37:00+00:00,semantic_cluster_33,train-ticket/ts-auth-service,4,3,0,1,2,4,0.25,0.0,65,3.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,True,False,False,False,True
2022-07-08 06:14:30+00:00,semantic_cluster_24,train-ticket/ts-auth-service,3,2,1,0,2,3,0.0,0.3333333333333333,82,3.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0,0,True,False,False,True,False,False,True
